Vivado Simulator 2016.4
Time resolution is 1 ps
[200000] DAC Ready Asserted
[230000] DAC Data: 0x0100010001000100010001000100010001000100010001000100010001000100
[250000] DAC Data: 0x0200020002000200fe7ffe7ffe7ffe7f0200020002000200fe7ffe7ffe7ffe7f
[270000] DAC Data: 0x0200020002000200fe7ffe7ffe7ffe7f0200020002000200fe7ffe7ffe7ffe7f
[290000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[310000] DAC Data: 0x9581968103804686fd13fbebffff75d89581968103804686fd13fbebffff75d8
[330000] DAC Data: 0x895a0a728c67bb7988a5e5c5c6b475d8895a0a728c67bb7988a5e5c5c6b475d8
[350000] AXI Write: Addr=0x810, Data=0x000f0f00
[350000] DAC Data: 0xf2ebe5c575d8c6b4697e0a72bb798c67f2ebe5c575d8c6b4697e0a72bb798c67
[370000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[390000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[410000] DAC Data: 0x9581968103804686fd13fbebffff75d89581968103804686fd13fbebffff75d8
[430000] DAC Data: 0x895a0a728c67bb7988a5e5c5c6b475d8895a0a728c67bb7988a5e5c5c6b475d8
[450000] DAC Data: 0xf2ebe5c575d8c6b4697e0a72bb798c67f2ebe5c575d8c6b4697e0a72bb798c67
[470000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[490000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[510000] DAC Data: 0x9581968103804686fd13fbebffff75d89581968103804686fd13fbebffff75d8
[530000] DAC Data: 0x895a0a728c67bb7988a5e5c5c6b475d8895a0a728c67bb7988a5e5c5c6b475d8
[550000] DAC Data: 0xf2ebe5c575d8c6b4697e0a72bb798c67f2ebe5c575d8c6b4697e0a72bb798c67
[570000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[590000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[610000] DAC Data: 0x9581968103804686fd13fbebffff75d89581968103804686fd13fbebffff75d8
[630000] DAC Data: 0x895a0a728c67bb7988a5e5c5c6b475d8895a0a728c67bb7988a5e5c5c6b475d8
[650000] DAC Data: 0xf2ebe5c575d8c6b4697e0a72bb798c67f2ebe5c575d8c6b4697e0a72bb798c67
[670000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[690000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[710000] AXI Write: Addr=0x814, Data=0x00010300
[710000] DAC Data: 0x9581968103804686fd13fbebffff75d89581968103804686fd13fbebffff75d8
[730000] DAC Data: 0x895a0a728c67bb7988a5e5c5c6b475d8895a0a728c67bb7988a5e5c5c6b475d8
[750000] DAC Data: 0xf2ebe5c575d8c6b4697e0a72bb798c67f2ebe5c575d8c6b4697e0a72bb798c67
[770000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[790000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[810000] DAC Data: 0x9481968103804786fa13fbebffff72d89481968103804786fa13fbebffff72d8
[830000] DAC Data: 0x895a0c728c67bb7988a5e8c5c6b475d8895a0c728c67bb7988a5e8c5c6b475d8
[850000] DAC Data: 0xf2ebe5c572d8c6b4697e0a72ba798c67f2ebe5c572d8c6b4697e0a72ba798c67
[870000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[890000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[910000] DAC Data: 0x9481968103804786fa13fbebffff72d89481968103804786fa13fbebffff72d8
[930000] DAC Data: 0x895a0c728c67bb7988a5e8c5c6b475d8895a0c728c67bb7988a5e8c5c6b475d8
[950000] DAC Data: 0xf2ebe5c572d8c6b4697e0a72ba798c67f2ebe5c572d8c6b4697e0a72ba798c67
[970000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[990000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[1010000] DAC Data: 0x9481968103804786fa13fbebffff72d89481968103804786fa13fbebffff72d8
[1030000] DAC Data: 0x895a0c728c67bb7988a5e8c5c6b475d8895a0c728c67bb7988a5e8c5c6b475d8
[1050000] DAC Data: 0xf2ebe5c572d8c6b4697e0a72ba798c67f2ebe5c572d8c6b4697e0a72ba798c67
[1070000] DAC Data: 0xf0c5fbeb75d80200f18d968146860380f0c5fbeb75d80200f18d968146860380
[1090000] DAC Data: 0x0672805a8c673b4b253a825a3b4b8c670672805a8c673b4b253a825a3b4b8c67
[1110000] DAC Data: 0x9481968103804786fa13fbebffff72d89481968103804786fa13fbebffff72d8
[1130000] DAC Data: 0x895a0c728c67bb7988a5e8c5c6
